YYYYMMDD	Module	Version	Who	Changes
20230327	fmCheckMate	1.0	@mrwatson-de	- Welcome to Version 1.0! fmCheckMate is more than ripe for use! - Improved integration with fmTextConverter, fmTextDiff and fmTextMultiplier
20230320	fmTextDiff	1.6	@mrwatson-de	- Added menu command to open the diff folder in TextMate
20230320	fmTextDiff	1.5.1	@mrwatson-de	- Changed filename to place the id number in the middle of the name, so -old and -new files are next tot each other alphabetically
20230314	fmTextDiff	1.5	@mrwatson-de	- Added automatic conversion of texts using fmTextConverter - Note: UX is still a bit naff, but **WOW**, this will *REALLY help* diffing old + new *renamed* code! - Added Text manipulating menu with buttons to set EOL of *both* texts - Added support for multiple diffs (added suffix to file name)
20230307	fmCheckMate	0.9.149	@mrwatson-de	- Fixed #81: Corrected bug introduced in v0.9.149 by prepending the drive path to the MBS-path - Speeded up Import of XSLTs and fixed usage statistics
20230303	fmTextDiff	1.4	@mrwatson-de	- Improved visibility of highlighted text - Added `Copy Highlighted Text` Button
20230228	fmWorkMate	1.8.1	@mrwatson-de	fmSetupAssistant is now an ext. Tool
20230228	fmTextDiff	1.3	@mrwatson-de	- Added `New Split-Diff` and `New Alternative Split-Diff` to create a new diff of the split-clipboard (first & second half)
20230214	fmTextDiff	1.2	@mrwatson-de	- Added Diff of first and second object(s)
20230214	fmCheckMate	0.9.148	@mrwatson-de	- Improved performance of XSLT Import by using MBS plugin
20230203	fmWorkMate	1.8	@mrwatson-de	- Fixes #74 Show Windows in Windows Menu - Improved menus in several tools
20230203	fmTextDiff	1.1.1	@mrwatson-de	- Fixed WebDiff Callback
20230112	fmTextDiff	1.1	@mrwatson-de	- Now with a 'Standard' local diff! - Added Diff Change navigation to help find (invisible) changes in white space - Note: The online IETF API based diff remains broken, until it can be updated to v2
20221216	fmWorkMate	1.7	@mrwatson-de	- Added Tool fmUrlDecode
20221216	fmUrlDecode	0.2	@mrwatson-de	- Tidied up with name, logo, menus, etc.
20221209	fmCheckMate	0.9.147	@mrwatson-de	- Added alternative print & diff functions to fields & tables to print Field IDs and Names
20221206	fmTextMultiplier	0.9.31	@mrwatson-de	- Added `Split Multiplication into Single Conversions`
20221110	fmWorkMate	1.6.1	@mrwatson-de	Tidied the footer area
20221107	fmWorkMate	1.6	@mrwatson-de	Added `Integration` and `Setup` Tool groups
20221105	fmMetaMate	0.1.1	@mrwatson-de	Added Prepare Release Script
20221008	fmWorkMate	1.5.1	MrW	Home page design improved
20221008	fmLogAnalyser	0.9.41	MrW	- Standardised the fmIDE: Go to Thing name and hotkey
20221008	fmCheckMate	0.9.146	MrW	- Standardised the fmIDE: Go to Thing name and hotkey
20220927	fmWorkMate	1.5	MrW	- Removed fmScriptWorkspace
20220927	fmTextSeries	0.9.19	MrW	- Removed fmScriptWorkspace
20220927	fmTextMultiplier	0.9.30	MrW	- Removed fmScriptWorkspace
20220927	fmTextDiff	1.0.1	MrW	- Removed fmScriptWorkspace
20220927	fmTextConverter	1.0	@mrwatson-de	- Improved Menu and Shortcuts - Changed the menu shortcuts to optimise `fmTextMate` > `FM -> Convert -> FM` as ⌘6 ⌘6 - Harmonised menu shortcut for `Copy Result -> FM` = ⌘7 - Added Menu `Generate Substitute Calculation` as ⌥⌘5 - Let's call it v1.0 ! :D
20220927	fmTextConverter	0.9.27	MrW	- Removed fmScriptWorkspace
20220927	fmPluginMate	0.9.15	MrW	- Removed fmScriptWorkspace
20220927	fmPasteMate	0.9.14	MrW	- Removed fmScriptWorkspace
20220927	fmModifierKeys	0.7.3	MrW	- Removed fmScriptWorkspace
20220927	fmLogAnalyser	0.9.40	MrW	- Added a `Archive Log` function - at last! - Improved `Clear Log`function to delete the file instead of leaving it just containing a BOM - Removed fmScriptWorkspace
20220927	fmLatencyMeter	0.3.3	MrW	- Removed fmScriptWorkspace
20220927	fmKillDefaultFields	1.0.1	MrW	- Removed fmScriptWorkspace
20220927	fmKeyPress	0.2.4	MrW	- Removed fmScriptWorkspace
20220927	fmDBAnalyser	0.9.15	MrW	- Removed fmScriptWorkspace
20220927	fmClipboardViewer	0.9.7	MrW	- Removed fmScriptWorkspace
20220927	fmCheckMate	0.9.145	MrW	- Removed fmScriptWorkspace
20220926	fmWorkMate	1.4.1	MrW	- Fixed issue #37 - fmWorkMate: overwrites the current chosen FileMaker when it starts, - by adding new FM-paths to User Preference Mappings :) - Improved FileMaker switching from the home layout
20220907	fmLogAnalyser	0.9.39	MrW	Major GUI overhaul - Improved the fmLogAnalyser look to be more consistent and 'loggier' - Improved the status message to show red when there are open errors - Simplified the stats box & fixed the refresh of the satts fields - Added new larger information strip in the footer area, so Text & Object details together and more visible - Added a new fmIDE Go-to button, honed and balanced the fmIDE and Bug-Off buttons in the Info strip
20220907	fmLogAnalyser	0.9.38	MrW	Time to clean up!
20220902	fmCheckMate	0.9.144	MrW	Added basic fmIDE integration scripts+Steps from Text Result, and Scripts + Tables +Fields from XML! WOW, WOW, WOW!
20220801	fmUrlDecode	0.1	@mrwatson-de	
20220421	fmTextConverter	0.9.26	MrW	Improved UX - Added Number of Matches - Added [Remove Highlights] button - Improved [Copy] button to get ready for another conversion rather than leaving the tool
20220219	fmWorkMate	1.4	MrW	Added fmSetupAssistant and fmMetaMaker
20220212	fmWorkMate	1.3.2	MrW	Get me on GitHub button + Blog button clearer
20211214	fmWorkMate	1.3.1	MrW	Reinstated the "About…" menu item
20211213	fmWorkMate	1.3	MrW	Fixed fmTexdDiff to not Diff twice / issue (#20)
20211211	fmTextDiff	1.0	MrW	- [fixed] #20 Don't trigger a second diff
20211205	fmTextConverter	0.9.25	MrW	Remove formatting from text
20211205	fmTextConverter	0.9.24	MrW	Improved the input of a tabbed double column text in the wide input layout by adding a wide tab
20211205	fmCheckMate	0.9.143	MrW	Added support for snippets which start with any white space
20211029	fmCheckMate	0.9.142	MrW	Improved the metadata fmCheckMate has about classes - Added new table _ClassTypeGroup and ability to edit Group descriptions - Improved handling of fm default field results
20211024	fmWorkMate	1.2	MrW	Added link in Help menu to Repo and Issues
20211020	fmCheckMate	0.9.141	MrW	Removed unwanted Scripts from script menu
20211015	fmWorkMate	1.1	MrW	Added customisable home DB
20211013	fmWorkMate		MrW	Improved to only release tools in the fmWorkMate repository ('internal' tools)
20210907	fmTextMultiplier	0.9.29	MrW	Applied and refined MrW Theme (99%)
20210907	fmTextConverter	0.9.23	MrW	Added Help and applied and refined MrW Theme (99%)
20210907	fmLatencyMeter	0.3.2	MrW	Corrected Typo in Menu
20210902	fmTextMultiplier	0.9.28	MrW	Added four cases and three examples to the help panel.
20210902	fmCheckMate	0.9.140	MrW	Improved XML handling to report syntax errors in the XSLT and to support include-files which are not formatted using seperate lines - finally, after 6 1/2 years!
20210901	fmTextMultiplier	0.9.27	MrW	Added a help panel - at last!
20210901	fmTextMultiplier	0.9.26	MrW	Improved the usability of the automatic series generation function (where you enter <from-number>[return]<delimiter>[return]<to-number>) by changing the delimiters to do what you expect: - Use ':', '..', '...', '…' or '-' to specify 'until', for example: `8[return]-[return]14` produces a list from 8 to 14 - Use '*' to specfy 'how many times', for example: `8[return]*[return]14` produces a list with 14 entries from 8 to 21
20210816	fmWorkMate	1.0.2	MrW	Added Homepage and Repo-URLs to the tools
20210813	fmCheckMate	0.9.139	MrW	Added functions to integrate with fmAutoMate and fixed a bug with window management
20210804	fmWorkMate	1.0.1	MrW	Changed Blog URL to new Blog and added FilePath to settings Page; updated missing entries in history script
20210611	fmWorkMate	1.0	MrW	fmWorkMate goes Open Source! Congratulations MrWatson!
20210602	fmWorkMate	0.9v95	MrW	Preparation for Open Source: MBS BYOL licence
20210407	fmCheckMate	0.9v138	MrW	I'm on holiday! At last added cool, context-sensitive tips (via ⌘⌥-) that should help users to get to grips quickly with fmCheckMate
20210404	fmCheckMate	0.9v137	MrW	Added missing options to user preferences
20210328	fmCheckMate	0.9v136	MrW	Improved performance by only calculating text result stats when needed and added analysis of UTF-16 supplementary plane characters (that is UTF-16 multiword chracters)
20210218	fmTextConverter	0.9v22	MrW	Ships with a more useful example entry
20210218	fmCheckMate	0.9v135	MrW	Workaround für FM19 missing includeInMenu attribute catastrophe (!)
20201105	fmWorkMate	0.9v94	MrW	Added Menu Item About FileMaker Pro
20201007	fmWorkMate	0.9v93	MrW	Added Tool Repo- and Home-URLs to the Tool Settings page and added a popup menu to the tool help page where the urls can be opened
20201006	fmWorkMate	0.9v92	MrW	Added fmLaunchPad
20201006	fmWorkMate	0.9v91	MrW	Integrated tools more closely, inc. myMateJSON, improved version info and release preparation
20201006	fmWorkMate	0.9v90	MrW	Improved the usability of the settings layout and made the the tools settings available and more user friendly
20201006	fmWorkMate	0.9v89	MrW	Improved the module-opening logic to support opening modules from neighboring folders (../fmAutoMate/fmAutoMate) & dropped support for fp7
20201006	fmPasteMate	0.9v13	MrW	Improved UX when pasting multiple lines: 'Paste line-by-line' mode is automatically enabled
20201006	fmLatencyMeter	0.3.1	MrW	Integrated into fmWorkMate
20201006	fmKillDefaultFields	1.0.1	MrW	Integrated tighter into fmWorkMate
20201005	fmWorkMate	0.9v88	MrW	Improved keyboard shortcut for Settings to standard CMD+9. TextSeries is now to be found on CMD+":", i.e. CMD + SHIFT + . ; Added access to the Tool Settings via a button in the settings layout
20200930	fmLogAnalyser	0.9v37	MrW	Improved Design to show white background when editing fields
20200928	fmWorkMate	0.9v87	MrW	Added Menusets for Windows
20200928	fmCheckMate	0.9v134	MrW	Added Menusets for Windows
20200903	fmCheckMate	0.9v133	MrW	New functions to split and diff the XML: Copy two objects in FM, then in fmCheckMate Convert, Split, Diff - QUICK = With JUST *FIVE* keys! ⌘C, ⌘TAB, ⌘⌥C, ⌘⌥S, ⌘⌥7
20200830	fmWorkMate	0.9v86	MrW	Added quick switch FileMaker icon to switch between target FileMaker instances
20200828	fmWorkMate	0.9v85	MrW	Tweaked file references to standalone (fmSyntaxColorizer and fmAutoMate to also look in their respective neighbouring folders)
20200817	fmWorkMate	0.9v84	MrW	Tweaked MBS Registration string to report no MBS Plugin
20200806	fmMetaMate		v0.1	MrW First steps
20200802	fmCheckMate	0.9v132	MrW	Use centralized fmWorkMate settings
20200719	fmWorkMate	0.9v83	MrW	Added support for non-runtime version
20200313	fmLogAnalyser	0.9v36	MrW	Disabled superflous Drag+Drop function on Windows due to a bug
20200313	fmCheckMate	0.9v131	MrW	Improved file compaction to save MBs!
20200310	fmWorkMate	0.9v82	MrW	Fixed the help menu (probably been broken for 4-5 years) and tidied up the About + Help (in most tools)
20200309	fmTextMultiplier	0.9v25	MrW	Added Tooltip showing the number of search and replace values
20200309	fmTextConverter	0.9v21	MrW	Added Tooltip showing the number of search and replace values, and added a split-at-tab radio button
20191210	fmWorkMate	0.9v81	MrW	Added Tool fmAutoMate
20191125	fmWorkMate	0.9v80	MrW	Added the ability to hide tools in the tool help list (by clicking the icon)
20191028	fmWorkMate	0.9v79	MrW	Made compatible with Mac Catalina: Updated to latest signed plugins
20191028	fmTextDiff	0.9v19	MrW	Improved UX: After conversion with fmCheckMate return focus to fmTextDiff and when starting or navigating don't show an empty webviewer result
20191015	fmCheckMate	0.9v130	MrW	Corrected paths that still used ~~ to use ~/Documents
20191008	fmWorkMate	0.9v78	MrW	Improved Simple Calculator: "?" now goes back
20191005	fmLogAnalyser	0.9v35	MrW	Added support for Italian, improved support for German
20191004	fmPluginMate	0.9v14	MrW	Added missing file icon
20190907	fmCheckMate	0.9v129	MrW	Fixed a bug in the Last XSLT view (CMD+T + CMD+T) where the close button didn't work
20190626	fmLatencyMeter	0.3	MrW	Open the window top right for easier comparison of local + remote clocks
20190621	fmLogAnalyser	0.9v34	MrW	Changed default "BUG OFF!" options to indicate successful pastes as well as show errors
20190620	fmLogAnalyser	0.9v33	MrW	Implemented attempt#2 to get fmLogAnalyser to open file &/ script in FileMaker correctly
20190619	fmLogAnalyser	0.9v32	MrW	Changed GUI to be cleaner and less distracting, provide clearer feedback
20190607	fmWorkMate	0.9v77	MrW	Improved fmKeyPress
20190603	fmKeyPress	0.2v3	MrW	Added the ability to paste characters or type codes
20190226	fmLogAnalyser	0.9v31	MrW	Added option to turn Bug Off Alarm on automatically when fmLogAnalyser starts
20190206	fmLogAnalyser	0.9v30	MrW	Added option to show positive Bug-Off notifications, plus added info-line to the notification
20190206	fmLogAnalyser	0.9v29	MrW	Made it easier to tick issues off by placing the [Issue is OK] and [All are OK] buttons together (*between* the [Show last issue] and [Show all issues] buttons) (CMD+6/CMD+7)
20190206	fmLogAnalyser	0.9v28	MrW	When starting turn "Bug Off" monitoring on, if necessary
20190204	fmWorkMate	0.9v76	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + added public API scripts to Activate fmWorkMate and open some important modules)
20190204	fmTextSeries	0.9v18	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmTextMultiplier	0.9v24	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmTextDiff	0.9v18	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmTextConverter	0.9v20	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmPasteMate	0.9v12	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmModifierKeys	0.7v2	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmLogAnalyser	0.9v27	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmLatencyMeter	0.2.3	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmKeyPress	0.2v2	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmClipboardViewer	0.9v6	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190204	fmCheckMate	0.9v128	MrW	Added public API scripts to Load and Convert XML
20190204	fmCheckMate	0.9v128	MrW	Enabled fmWorkMate to be called from AppleScript (privilege + public API scripts)
20190203	fmWorkMate	0.9v75	MrW	Bug Off! Wow ... fmLogAnalyser now actively watches your import.log for errors and notifies you *immediately*!
20190203	fmWorkMate	0.9v74	MrW	Integrated fmScriptWorkspace
20190203	fmTextSeries	0.9v17	MrW	Integrated fmScriptWorkspace
20190203	fmTextMultiplier	0.9v23	MrW	Integrated fmScriptWorkspace
20190203	fmTextDiff	0.9v17	MrW	Integrated fmScriptWorkspace
20190203	fmTextConverter	0.9v19	MrW	Integrated fmScriptWorkspace
20190203	fmPluginMate	0.9v13	MrW	Integrated fmScriptWorkspace
20190203	fmPasteMate	0.9v11	MrW	Integrated fmScriptWorkspace
20190203	fmModifierKeys	0.7v1	MrW	Integrated fmScriptWorkspace
20190203	fmLogAnalyser	0.9v26	MrW	Bug Off! Wow ... fmLogAnalyser now actively watches your import.log for errors and notifies you *immediately*!
20190203	fmLogAnalyser	0.9v25	MrW	Integrated fmScriptWorkspace
20190203	fmLatencyMeter	0.2.2	MrW	Integrated fmScriptWorkspace
20190203	fmKillDefaultFields	1.0	MrW	Added fmScriptWorkspace
20190203	fmKeyPress	0.2v1	MrW	Integrated fmScriptWorkspace
20190203	fmDBAnalyser	0.9v14	MrW	Integrated fmScriptWorkspace
20190203	fmClipboardViewer	0.9v5	MrW	Integrated fmScriptWorkspace
20190203	fmCheckMate	0.9v127	MrW	Integrated fmScriptWorkspace
20190106	fmCheckMate	0.9v126	Mrw	Improved public API documentation (comments now using FileMakerDoc standard /## ... #/)
20190104	fmWorkMate	0.9v73	MrW	MBS Lizenz für 2019
20190104	fmTextDiff	0.9v16	MrW	Tidied up App-Menu + script names
20181020	fmWorkMate	0.9v72	MrW	fmKillDefaultFields integrated correctly
20181012	fmCheckMate	0.9v125	MrW	Fixed bug, where the first right click was not working.
20181011	fmWorkMate	0.9v71	MrW	Removed need to reauthenticate from all tools ... users don't know the username anyhow!
20181010	fmTextDiff	0.9v15	MrW	'Input' and 'Results' label anchoring corrected
20181010	fmCheckMate	0.9v124	MrW	Improved usability of the TextResult: Diffing the Result closes the window, plus swapping Find + Replace terms now consistently implemented with SHIFT+ALT+F or SHIFT+ALT+Click on the [F] button
20181008	fmTextMultiplier	0.9v22	MrW	Improved usability: - Added automatic recognition of most frequent seperators {{TAB}}, {{PIPE}}, semicolon - Added warning if search items not found - Hide the multiply and convert buttons when not usable - plus removed unused field AutoSplit
20180928	fmTextDiff	0.9v14	MrW	Labeled the slider dots 'Input' and 'Results' to make navigation clearer
20180927	fmTextMultiplier	0.9v21	MrW	Added option to set seperator to {{TAB}} in one quick click, since it is the standard seperator 99% of the time - and made the Append Return button more in your face.
20180925	fmTextMultiplier	0.9v20	MrW	Improved search highlighting to support multiple (split) search terms. Nice :-)
20180831	fmTextMultiplier	0.9v19	MrW	Added the ability to turn duplication of the originl back on.
20180830	fmTextMultiplier	0.9v18	MrW	Added the description field to the export + import functions
20180813	fmWorkMate	0.9v70	MrW	Added Tool fmKillDefaultFields
20180713	fmCheckMate	0.9v123	MrW	Fixed issue where reimporting XSLTs took ages on mac OSX High Sierra
20180629	fmTextSeries	0.9v16	MrW	Added the record number to the list
20180628	fmTextSeries	0.9v15	MrW	Added support for dynamic text and loop values: If the values start with an equals sign they are evaluated (You can also use the variables $Text, $Loop, $Times, $Increment, plus $RN (=RecordNumber)and $FC (=FoundCount)
20180628	fmTextSeries	0.9v14	MrW	Extended the Buttons and Menus so "New Series from Clipboard" is keyboard shortcut Command+9
20180628	fmTextSeries	0.9v13	MrW	Changed again so that the clipboard is NOT used by default (or I'll end up giving away a password one day)
20180621	fmCheckMate	0.9v122	MrW	Fixed bug where XML field with line numbers would still be formatted
20180618	fmTextDiff	0.9v13	MrW	Now recognises fmxmlsnippet and FMObjectTransfer Grammars
20180611	fmCheckMate	0.9v121	MrW	Improved how the XML class is calculated, so that it is now always correct (even after transformations and undo) => Makes choosing a valid XSLT far easier!
20180610	fmCheckMate	0.9v120	MrW	Improved and refactored conversion script to be more efficient and maintainable (Note: more work to do here because of doubled processing of the XML due to XML-History script trigger)
20180605	fmTextConverter	0.9v18	MrW	Fixed the RegEx
20180605	fmCheckMate	0.9v119	MrW	Fixed RegEx so it is now possible to turn RegEx on/off from the menu/keyboard shortcut
20180531	fmLogAnalyser	0.9v24	MrW	Added File > Open Menu item: Now you can use CMD+O as well as CMD+2 to open a file
20180508	fmCheckMate	0.9v118	MrW	Added button to show the clipboard image (helps when working with layout objects)
20180508	fmCheckMate	0.9v117	MrW	Started adding support for the new fm17 Custom Menus (+ *at last* tidying up the main script!)
20180508	fmCheckMate	0.9v116	MrW	Added ability to set the class of XML manually (making it easier to pick an XSLT)
20180504	fmTextDiff	0.9v12	MrW	Added private sphere protection warning - users now must accept the resposibility in order to use the app
20180504	fmTextDiff	0.9v11	MrW	Improved navigation, and added shortcuts to show results and switch old + new files around
20180504	fmTextDiff	0.9v10	MrW	Corrected bug which caused the diff to be performed twice
20180504	fmClipboardViewer	0.9v4	MrW	Added setting to choose between MBS Plugin (default) and BE Plugin
20180417	fmCheckMate	0.9v115	MrW	Improved processing of naked CustomFunction XML to automatically add fmxmlsnippet wrapper
20180313	fmCheckMate	0.9v114	MrW	Added View and Format menus
20180311	fmWorkMate	0.9v69	MrW	5 hours after I asked, Christian added an option to HideDesktop in the backdrop function in MBS 8.2 - thanks Christian
20180309	fmTextSeries	0.9v12	MrW	Extended to also accept a range input of the form …n, ...n or ..n (as well as -n)
20180309	fmTextSeries	0.9v11	MrW	Changed so that the first line of the clipboard is used as the start text
20180308	fmWorkMate	0.9v68	MrW	Improved opening tools in FileMaker with a check to see if the app really exists
20180308	fmWorkMate	0.9v67	MrW	Added a function (in the fmWorkMate Settings) to add a colored backdrop (to cover up a messy desktop) - with a rather natty input field where you can either use the context menu to set the color, or just type in the RGB values.
20180308	fmWorkMate	0.9v66	MrW	Corrected the help URL.
20180308	fmTextConverter	0.9v17	MrW	Does not return to fmWorkMate after converting to FileMaker objects
20180223	fmTextSeries	0.9v10	MrW	LOL! Removed the last remains of German
20180223	fmTextMultiplier	0.9v17	MrW	Added Menu item + shortcut (CMD+G) to find the next occurrence of the search text
20180223	fmTextMultiplier	0.9v16	MrW	Added loop variables $i and $n for use in eval mode
20180223	fmTextMultiplier	0.9v15	MrW	Added the ability to create a series for multiplying - Enter "Field 1¶…¶10" to create a series Field 1 to Field 10
20180220	fmCheckMate	0.9v113	MrW	Catch possible inifite loop when rendering XSLT includes (max includes = 200)
20180205	fmCheckMate	0.9v112	MrW	Workaround to avoid field in mid air when maximizing fmCheckMate
20180205	fmCheckMate	0.9v111	MrW	Fixed error in handling of BOM-length when dropping a file to fmCheckMate
20180131	fmCheckMate	0.9v110	MrW	Support for new FMObjectTransfer XML Grammar; Indenting + Highlighting for CustomMenu XML
20180131	fmCheckMate	0.9v109	MrW	Text Results improvements: Saving + Opening Text Results now both use the standard filename
20180131	fmCheckMate	0.9v108	MrW	Added [XSLT Settings] buttons in the XSLT Chooser - now making it possible to easily define transformation workflow options (like default viewer & filename) for each target data type
20171111	fmLogAnalyser	0.9v23	MrW	Added buuton to open script using the fmScriptWorkspace module - plus no annoying dialog when ticking off last issue
20171107	fmCheckMate	0.9v107	MrW	Made XPath Analysis FM15 compatible
20171027	fmCheckMate	0.9v106	MrW	Moved the iDDR folder to the temp subfolder to make publishing the XSLT library on GitHub easier
20171025	fmCheckMate	0.9v105	MrW	Removed Text Result Charts, since they are not supported in Runtime solutions :-/
20171024	fmWorkMate	0.9v65	MrW	Rebuilt with fm15 for greater backward compatability, plus app icon returned
20171012	fmWorkMate	0.9v64	MrW	Improved build process, added Code Signing and correct embedding of app icons
20171011	fmWorkMate	0.9v63	MrW	Added Category Remote Tools plus new Tool fmLatencyMeter
20171010	fmWorkMate	0.9v62	MrW	Changed the web viewer function to a "News portal" (which starts on the mrwatson blog page) and dded a button to open the current page in the defalt browser.
20171010	fmWorkMate	0.9v61	MrW	Option to always keep fmWorkMate visible + Window scales better
20171010	fmModifierKeys	0.7v0	MrW	Added button to toggle the heartbeat (timer script) on/off
20171010	fmLogAnalyser	0.9v22	MrW	Removed confusing Client option
20171006	fmCheckMate	0.9v104	MrW	Added User notfication (Mac only) if conversion to XML takes longer
20171004	fmCheckMate	0.9v103	MrW	For clarity's sake changed the word from XPath to Xpath EVERYWHERE: in XSLT-Library AND in field names in the Analysis Results table => Users must also update their XSLT-libraries in order to work.
20171002	fmCheckMate	0.9v102	MrW	Fixed support for external XML editor, since automatic load had stopped working because of a change in AppleScript
20171002	fmCheckMate	0.9v101	MrW	Added support for shortened paths with ~/ or ~~/ to represent the home and document folders & buttons to make choosing files easy
20170929	fmWorkMate	0.9v60	MrW	Increased window size to accomodate tools, website and windows menus.
20170926	fmCheckMate	0.9v100	MrW	Added XSLT Settings, where XSLT workflow can be tweaked
20170920	fmLogAnalyser	0.9v21	MrW	Added button to also show previous lines => useful in situations where errors refer to the previous line, for example in recovery logs
20170919	fmModifierKeys	0.6v0	MrW	Added ActiveModifierKeys value + heartbeat symbol
20170919	fmModifierKeys	0.5v0	MrW	Added Clear Button - fantastic - @thanks to Fotmasta https://discussions.apple.com/thread/7959476?start=0&tstart=0
20170919	fmCheckMate	0.9v99	MrW	Optimized initial settings on release
